date,datetime,timestamp,season,away,away_code,away_pts,home,home_code,home_pts,overtime,type,boxscore
4/4/2023,4/4/2023 19:00,1680634800,2023,Miami Heat,MIA,118,Detroit Pistons,DET,105,,,https://www.basketball-reference.com/boxscores/202304040DET.html
4/4/2023,4/4/2023 19:00,1680634800,2023,Cleveland Cavaliers,CLE,117,Orlando Magic,ORL,113,,,https://www.basketball-reference.com/boxscores/202304040ORL.html
4/4/2023,4/4/2023 19:00,1680634800,2023,Milwaukee Bucks,MIL,140,Washington Wizards,WAS,128,,,https://www.basketball-reference.com/boxscores/202304040WAS.html
4/4/2023,4/4/2023 19:30,1680636600,2023,Minnesota Timberwolves,MIN,107,Brooklyn Nets,BRK,102,,,https://www.basketball-reference.com/boxscores/202304040BRK.html
4/4/2023,4/4/2023 20:00,1680638400,2023,Atlanta Hawks,ATL,123,Chicago Bulls,CHI,105,,,https://www.basketball-reference.com/boxscores/202304040CHI.html
4/4/2023,4/4/2023 20:00,1680638400,2023,Denver Nuggets,DEN,103,Houston Rockets,HOU,124,,,https://www.basketball-reference.com/boxscores/202304040HOU.html
4/4/2023,4/4/2023 20:00,1680638400,2023,Portland Trail Blazers,POR,109,Memphis Grizzlies,MEM,119,,,https://www.basketball-reference.com/boxscores/202304040MEM.html
4/4/2023,4/4/2023 20:00,1680638400,2023,Sacramento Kings,SAC,121,New Orleans Pelicans,NOP,103,,,https://www.basketball-reference.com/boxscores/202304040NOP.html
4/4/2023,4/4/2023 20:00,1680638400,2023,Boston Celtics,BOS,101,Philadelphia 76ers,PHI,103,,,https://www.basketball-reference.com/boxscores/202304040PHI.html
4/4/2023,4/4/2023 21:00,1680642000,2023,Los Angeles Lakers,LAL,135,Utah Jazz,UTA,133,OT,,https://www.basketball-reference.com/boxscores/202304040UTA.html
4/4/2023,4/4/2023 22:00,1680645600,2023,Oklahoma City Thunder,OKC,125,Golden State Warriors,GSW,136,,,https://www.basketball-reference.com/boxscores/202304040GSW.html
4/4/2023,4/4/2023 22:00,1680645600,2023,San Antonio Spurs,SAS,94,Phoenix Suns,PHO,115,,,https://www.basketball-reference.com/boxscores/202304040PHO.html
4/5/2023,4/5/2023 19:00,1680721200,2023,Brooklyn Nets,BRK,123,Detroit Pistons,DET,108,,,https://www.basketball-reference.com/boxscores/202304050DET.html
4/5/2023,4/5/2023 19:00,1680721200,2023,New York Knicks,NYK,138,Indiana Pacers,IND,129,,,https://www.basketball-reference.com/boxscores/202304050IND.html
4/5/2023,4/5/2023 19:30,1680723000,2023,Washington Wizards,WAS,116,Atlanta Hawks,ATL,134,,,https://www.basketball-reference.com/boxscores/202304050ATL.html
4/5/2023,4/5/2023 19:30,1680723000,2023,Toronto Raptors,TOR,93,Boston Celtics,BOS,97,,,https://www.basketball-reference.com/boxscores/202304050BOS.html
4/5/2023,4/5/2023 19:30,1680723000,2023,Chicago Bulls,CHI,92,Milwaukee Bucks,MIL,105,,,https://www.basketball-reference.com/boxscores/202304050MIL.html
4/5/2023,4/5/2023 20:00,1680724800,2023,Memphis Grizzlies,MEM,131,New Orleans Pelicans,NOP,138,OT,,https://www.basketball-reference.com/boxscores/202304050NOP.html
4/5/2023,4/5/2023 20:30,1680726600,2023,Sacramento Kings,SAC,119,Dallas Mavericks,DAL,123,,,https://www.basketball-reference.com/boxscores/202304050DAL.html
4/5/2023,4/5/2023 22:00,1680732000,2023,Los Angeles Lakers,LAL,118,Los Angeles Clippers,LAC,125,,,https://www.basketball-reference.com/boxscores/202304050LAC.html
4/6/2023,4/6/2023 19:00,1680807600,2023,Cleveland Cavaliers,CLE,118,Orlando Magic,ORL,94,,,https://www.basketball-reference.com/boxscores/202304060ORL.html
4/6/2023,4/6/2023 19:30,1680809400,2023,Miami Heat,MIA,129,Philadelphia 76ers,PHI,101,,,https://www.basketball-reference.com/boxscores/202304060PHI.html
4/6/2023,4/6/2023 20:00,1680811200,2023,Portland Trail Blazers,POR,127,San Antonio Spurs,SAS,129,,,https://www.basketball-reference.com/boxscores/202304060SAS.html
4/6/2023,4/6/2023 21:00,1680814800,2023,Oklahoma City Thunder,OKC,114,Utah Jazz,UTA,98,,,https://www.basketball-reference.com/boxscores/202304060UTA.html
4/6/2023,4/6/2023 22:00,1680818400,2023,Denver Nuggets,DEN,115,Phoenix Suns,PHO,119,,,https://www.basketball-reference.com/boxscores/202304060PHO.html
4/7/2023,4/7/2023 19:00,1680894000,2023,Houston Rockets,HOU,112,Charlotte Hornets,CHO,109,,,https://www.basketball-reference.com/boxscores/202304070CHO.html
4/7/2023,4/7/2023 19:00,1680894000,2023,Detroit Pistons,DET,122,Indiana Pacers,IND,115,,,https://www.basketball-reference.com/boxscores/202304070IND.html
4/7/2023,4/7/2023 19:00,1680894000,2023,Miami Heat,MIA,108,Washington Wizards,WAS,114,,,https://www.basketball-reference.com/boxscores/202304070WAS.html
4/7/2023,4/7/2023 19:30,1680895800,2023,Philadelphia 76ers,PHI,136,Atlanta Hawks,ATL,131,OT,,https://www.basketball-reference.com/boxscores/202304070ATL.html
4/7/2023,4/7/2023 19:30,1680895800,2023,Toronto Raptors,TOR,102,Boston Celtics,BOS,121,,,https://www.basketball-reference.com/boxscores/202304070BOS.html
4/7/2023,4/7/2023 19:30,1680895800,2023,Orlando Magic,ORL,84,Brooklyn Nets,BRK,101,,,https://www.basketball-reference.com/boxscores/202304070BRK.html
4/7/2023,4/7/2023 20:00,1680897600,2023,Memphis Grizzlies,MEM,137,Milwaukee Bucks,MIL,114,,,https://www.basketball-reference.com/boxscores/202304070MIL.html
4/7/2023,4/7/2023 20:00,1680897600,2023,New York Knicks,NYK,105,New Orleans Pelicans,NOP,113,,,https://www.basketball-reference.com/boxscores/202304070NOP.html
4/7/2023,4/7/2023 20:30,1680899400,2023,Chicago Bulls,CHI,115,Dallas Mavericks,DAL,112,,,https://www.basketball-reference.com/boxscores/202304070DAL.html
4/7/2023,4/7/2023 22:00,1680904800,2023,Golden State Warriors,GSW,119,Sacramento Kings,SAC,97,,,https://www.basketball-reference.com/boxscores/202304070SAC.html
4/7/2023,4/7/2023 22:30,1680906600,2023,Phoenix Suns,PHO,107,Los Angeles Lakers,LAL,121,,,https://www.basketball-reference.com/boxscores/202304070LAL.html
4/8/2023,4/8/2023 15:30,1680967800,2023,Denver Nuggets,DEN,114,Utah Jazz,UTA,118,,,https://www.basketball-reference.com/boxscores/202304080UTA.html
4/8/2023,4/8/2023 16:00,1680969600,2023,Portland Trail Blazers,POR,125,Los Angeles Clippers,LAC,136,,,https://www.basketball-reference.com/boxscores/202304080LAC.html
4/8/2023,4/8/2023 16:00,1680969600,2023,Minnesota Timberwolves,MIN,151,San Antonio Spurs,SAS,131,,,https://www.basketball-reference.com/boxscores/202304080SAS.html
4/9/2023,4/9/2023 13:00,1681045200,2023,Atlanta Hawks,ATL,114,Boston Celtics,BOS,120,,,https://www.basketball-reference.com/boxscores/202304090BOS.html
4/9/2023,4/9/2023 13:00,1681045200,2023,Philadelphia 76ers,PHI,134,Brooklyn Nets,BRK,105,,,https://www.basketball-reference.com/boxscores/202304090BRK.html
4/9/2023,4/9/2023 13:00,1681045200,2023,Detroit Pistons,DET,81,Chicago Bulls,CHI,103,,,https://www.basketball-reference.com/boxscores/202304090CHI.html
4/9/2023,4/9/2023 13:00,1681045200,2023,Charlotte Hornets,CHO,106,Cleveland Cavaliers,CLE,95,,,https://www.basketball-reference.com/boxscores/202304090CLE.html
4/9/2023,4/9/2023 13:00,1681045200,2023,Orlando Magic,ORL,110,Miami Heat,MIA,123,,,https://www.basketball-reference.com/boxscores/202304090MIA.html
4/9/2023,4/9/2023 13:00,1681045200,2023,Indiana Pacers,IND,141,New York Knicks,NYK,136,,,https://www.basketball-reference.com/boxscores/202304090NYK.html
4/9/2023,4/9/2023 13:00,1681045200,2023,Milwaukee Bucks,MIL,105,Toronto Raptors,TOR,121,,,https://www.basketball-reference.com/boxscores/202304090TOR.html
4/9/2023,4/9/2023 13:00,1681045200,2023,Houston Rockets,HOU,114,Washington Wizards,WAS,109,,,https://www.basketball-reference.com/boxscores/202304090WAS.html
4/9/2023,4/9/2023 15:30,1681054200,2023,San Antonio Spurs,SAS,138,Dallas Mavericks,DAL,117,,,https://www.basketball-reference.com/boxscores/202304090DAL.html
4/9/2023,4/9/2023 15:30,1681054200,2023,Sacramento Kings,SAC,95,Denver Nuggets,DEN,109,,,https://www.basketball-reference.com/boxscores/202304090DEN.html
4/9/2023,4/9/2023 15:30,1681054200,2023,Utah Jazz,UTA,117,Los Angeles Lakers,LAL,128,,,https://www.basketball-reference.com/boxscores/202304090LAL.html
4/9/2023,4/9/2023 15:30,1681054200,2023,New Orleans Pelicans,NOP,108,Minnesota Timberwolves,MIN,113,,,https://www.basketball-reference.com/boxscores/202304090MIN.html
4/9/2023,4/9/2023 15:30,1681054200,2023,Memphis Grizzlies,MEM,100,Oklahoma City Thunder,OKC,115,,,https://www.basketball-reference.com/boxscores/202304090OKC.html
